Student ID,student_name,gender,grade,reading_score,math_score,school_name
0,Michael Martin,M,12th,73.74,43.76,Huang High School
1,Joseph Hernandez,M,11th,96.57,48.82,Huang High School
2,Linda Miller,M,10th,70.07,88.89,Huang High School
3,Charles Hernandez,M,9th,82.06,73.49,Huang High School
4,David Brown,F,10th,73.52,88.44,Huang High School
5,Linda Williams,M,11th,64.61,36.77,Huang High School
6,Mary Lopez,M,11th,63.92,69.62,Huang High School
7,Jennifer Johnson,M,9th,84.4,56.73,Huang High School
8,James Lopez,M,12th,89.07,53.27,Huang High School
9,Barbara Taylor,M,9th,53.82,48.73,Huang High School
10,Elizabeth Thomas,F,11th,67.63,75.66,Huang High School
11,Joseph Anderson,M,10th,92.17,56.92,Huang High School
12,Charles Lopez,F,11th,75.17,89.85,Huang High School
13,Karen Williams,F,10th,66.72,44.81,Huang High School
14,Robert Jackson,M,9th,84.61,83.11,Huang High School
15,Michael Rodriguez,F,11th,69.74,71.66,Huang High School
16,Michael Moore,F,10th,68.32,69.38,Huang High School
17,Patricia Wilson,M,12th,47.26,59.39,Huang High School
18,Sarah Rodriguez,M,12th,56.97,86.82,Huang High School
19,Mary Martin,M,12th,84.28,69.84,Huang High School
20,Joseph Miller,F,10th,83.21,81.66,Huang High School
21,Barbara Davis,M,11th,58.6,77.48,Huang High School
22,Joseph Williams,F,11th,70.37,66.03,Huang High School
23,Susan Taylor,M,10th,70.63,76.6,Huang High School
24,Patricia Moore,M,10th,83.27,85.59,Huang High School
25,Linda Brown,F,9th,63.52,66.74,Huang High School
26,Mary Garcia,M,10th,71.55,84.42,Huang High School
27,Elizabeth Brown,F,11th,82.1,60.63,Huang High School
28,Sarah Lopez,F,11th,73.12,43.72,Huang High School
29,Mary Martinez,M,10th,38.11,59.05,Huang High School
30,Patricia Wilson,F,10th,93.85,83.17,Huang High School
31,Jessica Anderson,M,10th,77.66,79.04,Huang High School
32,Linda Wilson,M,9th,80.44,61.8,Huang High School
33,Linda Thomas,M,11th,25.42,69.5,Huang High School
34,Richard Moore,F,11th,70.1,77.71,Huang High School
35,Joseph Gonzalez,F,12th,97.61,86.61,Huang High School
36,William Anderson,F,10th,69.24,71.36,Huang High School
37,Richard Smith,M,9th,67.62,100.0,Huang High School
38,Michael Rodriguez,M,12th,72.82,72.17,Huang High School
39,James Lopez,M,9th,100.0,44.46,Huang High School
40,Linda Hernandez,F,10th,65.01,64.91,Huang High School
41,Charles Taylor,F,11th,91.3,72.63,Huang High School
42,Linda Williams,M,9th,66.95,75.07,Huang High School
43,John Smith,M,10th,63.63,53.27,Huang High School
44,Robert Martinez,F,12th,71.25,75.28,Huang High School
45,Michael Rodriguez,F,11th,57.11,59.84,Huang High School
46,Michael Rodriguez,F,11th,60.08,53.3,Huang High School
47,Linda Lopez,F,10th,71.28,95.37,Huang High School
48,Mary Smith,M,11th,67.31,59.39,Huang High School
49,Jessica Jones,F,9th,66.65,85.16,Huang High School
50,John Lopez,F,11th,70.0,73.11,Huang High School
51,Linda Williams,M,9th,51.24,56.34,Huang High School
52,James Williams,M,12th,60.16,81.52,Huang High School
53,Robert Anderson,M,9th,79.37,59.22,Huang High School
54,Susan Williams,M,10th,59.95,60.63,Huang High School
55,James Jones,F,10th,69.58,68.7,Huang High School
56,Susan Miller,M,11th,55.25,61.36,Huang High School
57,William Anderson,F,9th,100.0,50.26,Huang High School
58,Joseph Martinez,F,12th,76.1,56.96,Huang High School
59,Richard Jackson,F,9th,75.21,43.27,Huang High School
60,Michael Taylor,M,9th,63.65,47.96,Huang High School
61,Karen Brown,M,9th,50.37,84.04,Huang High School
